id,Promyelocyte,Myelocyte,Monoblast,Lymphocyte,Metamyelocyte,Myeloblast,Erythroblast,Lymphoblast,Granulocyte,Plasma cell,erythrocyte,Monocyte,Megakaryozyt
18685,1,0,0,0,0,0,0,0,0,0,0,0,0
18606,1,0,0,0,0,0,0,0,0,0,0,0,0
18627,1,0,0,0,0,0,0,0,0,0,0,0,0
18615,1,0,0,0,0,0,0,0,0,0,0,0,0
18641,1,0,0,0,0,0,0,0,0,0,0,0,0
18720,1,0,0,0,0,0,0,0,0,0,0,0,0
18613,1,0,0,0,0,0,0,0,0,0,0,0,0
18644,1,0,0,0,0,0,0,0,0,0,0,0,0
18595,1,0,0,0,0,0,0,0,0,0,0,0,0
18708,1,0,0,0,0,0,0,0,0,0,0,0,0
18714,1,0,0,0,0,0,0,0,0,0,0,0,0
18705,1,0,0,0,0,0,0,0,0,0,0,0,0
18605,1,0,0,0,0,0,0,0,0,0,0,0,0
18611,1,0,0,0,0,0,0,0,0,0,0,0,0
18616,1,0,0,0,0,0,0,0,0,0,0,0,0
18657,1,0,0,0,0,0,0,0,0,0,0,0,0
18725,1,0,0,0,0,0,0,0,0,0,0,0,0
18700,1,0,0,0,0,0,0,0,0,0,0,0,0
18654,1,0,0,0,0,0,0,0,0,0,0,0,0
18655,1,0,0,0,0,0,0,0,0,0,0,0,0
18642,1,0,0,0,0,0,0,0,0,0,0,0,0
18629,1,0,0,0,0,0,0,0,0,0,0,0,0
18649,1,0,0,0,0,0,0,0,0,0,0,0,0
18706,1,0,0,0,0,0,0,0,0,0,0,0,0
18609,1,0,0,0,0,0,0,0,0,0,0,0,0
18602,1,0,0,0,0,0,0,0,0,0,0,0,0
18675,1,0,0,0,0,0,0,0,0,0,0,0,0
18601,1,0,0,0,0,0,0,0,0,0,0,0,0
18731,1,0,0,0,0,0,0,0,0,0,0,0,0
15352,0,1,0,0,0,0,0,0,0,0,0,0,0
15378,1,0,0,0,0,0,0,0,0,0,0,0,0
15454,1,0,0,0,0,0,0,0,0,0,0,0,0
15409,0,0,1,0,0,0,0,0,0,0,0,0,0
15389,1,0,0,0,0,0,0,0,0,0,0,0,0
15439,1,0,0,0,0,0,0,0,0,0,0,0,0
15545,0,0,1,0,0,0,0,0,0,0,0,0,0
15475,1,0,0,0,0,0,0,0,0,0,0,0,0
15495,1,0,0,0,0,0,0,0,0,0,0,0,0
15424,0,0,0,1,0,0,0,0,0,0,0,0,0
15503,0,0,0,0,1,0,0,0,0,0,0,0,0
15437,0,1,0,0,0,0,0,0,0,0,0,0,0
15408,1,0,0,0,0,0,0,0,0,0,0,0,0
15498,0,0,1,0,0,0,0,0,0,0,0,0,0
15483,0,0,0,0,0,1,0,0,0,0,0,0,0
15455,1,0,0,0,0,0,0,0,0,0,0,0,0
15438,1,0,0,0,0,0,0,0,0,0,0,0,0
15369,1,0,0,0,0,0,0,0,0,0,0,0,0
15414,0,0,0,0,0,1,0,0,0,0,0,0,0
15542,0,0,0,0,0,1,0,0,0,0,0,0,0
15523,1,0,0,0,0,0,0,0,0,0,0,0,0
15525,1,0,0,0,0,0,0,0,0,0,0,0,0
15527,0,0,0,0,0,1,0,0,0,0,0,0,0
15449,1,0,0,0,0,0,0,0,0,0,0,0,0
15453,1,0,0,0,0,0,0,0,0,0,0,0,0
15461,0,0,0,0,0,1,0,0,0,0,0,0,0
15558,0,1,0,0,0,0,0,0,0,0,0,0,0
15522,0,1,0,0,0,0,0,0,0,0,0,0,0
15419,0,0,0,0,0,1,0,0,0,0,0,0,0
15363,0,0,0,0,0,1,0,0,0,0,0,0,0
15467,1,0,0,0,0,0,0,0,0,0,0,0,0
15519,0,0,0,0,0,1,0,0,0,0,0,0,0
15384,1,0,0,0,0,0,0,0,0,0,0,0,0
15397,1,0,0,0,0,0,0,0,0,0,0,0,0
15415,1,0,0,0,0,0,0,0,0,0,0,0,0
15532,1,0,0,0,0,0,0,0,0,0,0,0,0
15380,0,0,0,0,0,1,0,0,0,0,0,0,0
15448,1,0,0,0,0,0,0,0,0,0,0,0,0
15376,1,0,0,0,0,0,0,0,0,0,0,0,0
15429,0,0,0,0,0,1,0,0,0,0,0,0,0
15410,0,0,0,0,1,0,0,0,0,0,0,0,0
15507,1,0,0,0,0,0,0,0,0,0,0,0,0
15559,1,0,0,0,0,0,0,0,0,0,0,0,0
15534,1,0,0,0,0,0,0,0,0,0,0,0,0
15451,1,0,0,0,0,0,0,0,0,0,0,0,0
15458,1,0,0,0,0,0,0,0,0,0,0,0,0
15368,0,0,0,0,0,1,0,0,0,0,0,0,0
15459,0,0,0,0,0,1,0,0,0,0,0,0,0
15360,0,0,0,0,0,1,0,0,0,0,0,0,0
15394,0,0,0,0,0,0,1,0,0,0,0,0,0
15413,0,0,0,0,0,1,0,0,0,0,0,0,0
15392,1,0,0,0,0,0,0,0,0,0,0,0,0
15441,1,0,0,0,0,0,0,0,0,0,0,0,0
15485,1,0,0,0,0,0,0,0,0,0,0,0,0
15501,1,0,0,0,0,0,0,0,0,0,0,0,0
15374,0,0,0,0,0,1,0,0,0,0,0,0,0
15516,1,0,0,0,0,0,0,0,0,0,0,0,0
15529,0,0,0,0,1,0,0,0,0,0,0,0,0
15364,1,0,0,0,0,0,0,0,0,0,0,0,0
15417,1,0,0,0,0,0,0,0,0,0,0,0,0
15476,1,0,0,0,0,0,0,0,0,0,0,0,0
15450,0,0,0,0,1,0,0,0,0,0,0,0,0
15366,1,0,0,0,0,0,0,0,0,0,0,0,0
15468,0,0,0,0,1,0,0,0,0,0,0,0,0
15359,1,0,0,0,0,0,0,0,0,0,0,0,0
15550,1,0,0,0,0,0,0,0,0,0,0,0,0
15502,1,0,0,0,0,0,0,0,0,0,0,0,0
15528,1,0,0,0,0,0,0,0,0,0,0,0,0
15549,1,0,0,0,0,0,0,0,0,0,0,0,0
15513,1,0,0,0,0,0,0,0,0,0,0,0,0
15526,0,0,0,0,0,1,0,0,0,0,0,0,0
15355,1,0,0,0,0,0,0,0,0,0,0,0,0
15490,1,0,0,0,0,0,0,0,0,0,0,0,0
15477,1,0,0,0,0,0,0,0,0,0,0,0,0
15512,1,0,0,0,0,0,0,0,0,0,0,0,0
